"StartTime","EndTime","director","trial","target","pair","transitions","round"
5570,54720,"B","1.1_ref",9,"003004",17,1
82620,103290,"A","1.2_ref",6,"003004",7,1
124670,173300,"B","1.3_ref",15,"003004",7,1
183260,197730,"A","1.4_ref",14,"003004",3,1
207190,223010,"B","1.5_ref",13,"003004",13,1
249440,271890,"A","1.6_ref",16,"003004",9,1
282110,314310,"B","1.7_ref",11,"003004",17,1
352860,385380,"A","1.8_ref",8,"003004",19,1
421800,439450,"B","1.9_ref",3,"003004",12,1
445210,467490,"A","1.10_ref",10,"003004",6,1
481280,523680,"B","1.11_ref",5,"003004",15,1
537290,561910,"A","1.12_ref",4,"003004",13,1
580800,593790,"B","1.13_ref",7,"003004",5,1
608610,623410,"A","1.14_ref",2,"003004",9,1
634380,646390,"B","1.15_ref",1,"003004",7,1
667250,698570,"A","1.16_ref",12,"003004",9,1
708800,721770,"B","2.1_ref",14,"003004",9,2
726380,741210,"A","2.2_ref",9,"003004",7,2
752540,873510,"B","2.3_ref",16,"003004",51,2
885050,899070,"A","2.4_ref",3,"003004",5,2
920010,932330,"B","2.5_ref",10,"003004",1,2
945520,960790,"A","2.6_ref",11,"003004",9,2
970850,983940,"B","2.7_ref",12,"003004",3,2
1037160,1054410,"A","2.8_ref",7,"003004",5,2
1073270,1080180,"B","2.9_ref",6,"003004",3,2
1120860,1130000,"A","2.10_ref",13,"003004",5,2
1135350,1148520,"B","2.11_ref",2,"003004",5,2
1161780,1182000,"A","2.12_ref",15,"003004",13,2
1191400,1205160,"B","2.13_ref",8,"003004",7,2
1234630,1243800,"A","2.14_ref",1,"003004",5,2
1259060,1285640,"B","2.15_ref",4,"003004",15,2
1311650,1340350,"A","2.16_ref",5,"003004",12,2
1347240,1365930,"B","3.1_ref",9,"003004",10,3
1372160,1381130,"A","3.2_ref",10,"003004",3,3
1393330,1405890,"B","3.3_ref",15,"003004",7,3
1409660,1417750,"A","3.4_ref",12,"003004",3,3
1434770,1441220,"B","3.5_ref",1,"003004",1,3
1453780,1459810,"A","3.6_ref",4,"003004",1,3
1465290,1484250,"B","3.7_ref",7,"003004",5,3
1489680,1496090,"A","3.8_ref",16,"003004",5,3
1512830,1519370,"B","3.9_ref",13,"003004",5,3
1535390,1540310,"A","3.10_ref",2,"003004",1,3
1553110,1560590,"B","3.11_ref",11,"003004",5,3
1568710,1573180,"A","3.12_ref",6,"003004",1,3
1586610,1592610,"B","3.13_ref",5,"003004",1,3
1599740,1618130,"A","3.14_ref",8,"003004",9,3
1624340,1645310,"B","3.15_ref",3,"003004",9,3
