word_1,word_2,distance
twee pinnen vierkant,schroeven schoorsteen vierkant,0.217135
driehoek op bovenkant,piramide,0.39209
staat op driehoek,wijnglas,0.65174
is teken zijkant,afgezaagde driehoek,0.364244
meest compact,scheppen aan zijkant,0.605392
bolletje met pin,lepel rechts rondje,0.265075
balk bovenin,tafel,0.546026
bovenkant doorboord vierkant,schaap,0.626779
ovaal voetstuk,ovaal voetstuk,5.96046e-08
stok door onderkant,zonnepaneel,0.675266
bolletje in het midden,driehoekige balk,0.397981
niks bovenkant onderkant,bijzettafel,0.666985
staat op vierkant,zwembad,0.685881
balletje op bovenkant,bal en balk,0.22183
vierkant door midden,glijbaan,0.628174
piek op bovenkant,kegel boven en zijkant,0.277266
plat vierkant voorop,verrekijker,0.584804
uitstekende driehoek bovenop,puntmuts,0.466948
op gedraaid statief,driehoek statief,0.205841
dubbele balk rechts,deurklink,0.453703
balk horizontaal bovenop,hanenkam,0.596279
staaf door rondje,neuspiercing,0.532039
plank snijdt middenboven,kom houder plank,0.325053
ruit staaf bovenop,boiler,0.527008
pijp handvat links,theekopje,0.431811
bolletje op handvaten,staaf links klein,0.343295
ronde bal rechtsvoor,indiaan,0.581819
horizontaal rondje voorop,taart houder,0.522435
twee kraal ketting zijkanten,pippi langkous,0.690237
verticale balk voorkant,basketbal,0.722568
vierkant snijdt middenonder,glijbaan,0.676499
linksvoor boven zelfde,vijzel,0.615333
spijke in bovenkant,spijker bovenkant blokken torentjes,0.193654
driehoek aan bovenkant,hanenkam prisma voorkant,0.258657
gedraaide driehoek onder,gedraaide driehoek onder,0.0
twee balkjes rechts,is teken pilon,0.487028
langwerpige balk bovenop,spaceshuttle liggende balk,0.240195
doorboorde bol voorkant,balk bol voorkant,0.163414
tafel aan voorkant,tafel met bakje,0.246833
doorboord vierkant bovenop,glijbaan doorboord vierkant,0.103313
schijf aan achterkant,schijf acterkant ballon,0.229277
liggend scherm achterkant,liggend scherm achterkant,0.0
bol aan voorkant,bol gleufje links,0.275088
spijker uitstekende deel,spijker in hartje,0.272594
twee uitstekende kralensnoeren,kralenketting dienblad,0.42237
bol op bovenkant,bol boven armpjes,0.170793
twee blokjes bovenop,twin towers tutu,0.599044
blokjes aan voorkant,balon boven links,0.457898
vierkant voorkant,mushroom uitpuilende ogen,0.464575
driehoek bovenop,driehoek met kogel,0.178659
gedraaid uitsteeksel onderkant,trofee,0.684285
is aan rechterkant,is teken,0.30306
rechthoek bovenop,omgekeerde beker schepje,0.378198
vliegtuig propellor voorkant,toeter appel blaadje,0.423235
veel bovenkant,ak zevenenveertig,0.720797
neus en sik,satteliet en sik,0.205245
lange neus staart,nek halve cirkel,0.235004
honkbalknuppel achterkant,honkbalknuppel electrische fiets,0.283012
bolle neus,misvormde waterdruppel boven,0.314212
rond platform rechts,pacman helikopterplatform,0.582491
vierkant onderkant,diamantjes plat vierkant,0.134654
bol bovenop,toren en bol,0.203893
twee stokjes bovenop,robot met arm,0.422557
twee stelen,twee druppels water,0.36527
vierkant rechts vooraan,robot,0.706446
piramide bovenaan,piramide bovenop,0.145421
driehoek onderaan,cocktailglas,0.621024
twee balken rechts,eend,0.612387
lange balk bovenop,balk bovenop,0.0629312
doorboord ei rechts,doorboord ei,0.0666856
pootjes plaat bovenaan,hangend aan tafeltje,0.255201
gebogen balk onderaan,ruit achterkant,0.280315
cirkel links achter,steelpan deksel,0.602642
kleine eitjes weerszijden,peper en zout,0.486122
los ei rechts,ei voorop,0.220214
plat ovaal rechts,balk bijzettafeltje,0.35421
plaat onderaan,clown,0.632038
ei bovenop,wolkenkrabber knuffel,0.564212
plaat doorheen voorwerp,tutu,0.673531
meerdere blokjes rechts,twee plugs,0.410234
robot met verrekijker,verrekijker met antenne,0.14381
piramide bovenop,driehoek bovenop,0.157244
wijnglas met blokjes,trofee met blokjes,0.185124
eend met staart,uithangbordjes en lampenkap,0.494189
kuikentje met hanenkam,balk bovenop vleugels,0.365671
helikopter,bol met zuignap,0.577196
beker door tafel,tafeltje met bakje,0.302057
filter met handvaten,ruit toenemende vierkanten,0.370377
beker met pollepel,rechtsbovenin pollepel,0.256058
deegroller door kopje,zonnepaneel balk rondje,0.434411
neus en bowlingpin,bolletje aan voorkant,0.297185
plateau en trompet,trompet rond plateau,0.0578533
kopje met diamanten,diamanten op plateau,0.264533
fietsstuur met bolletje,balk met bol,0.278691
kopje twee stokjes,schijf door midden,0.441643
bowlingpin bovenkant zijkant,twee bowling pinnen,0.466152
twee torens links,paddenstoel,0.678061
tol linker kant,piramide rotzooi,0.505268
spiraal afvoer driehoek,spiraal met driehoek,0.125533
hendel links torens,afgevlakte driekhoek hendeltje,0.276158
lampenkap links rechthoek,rechthoek bovenkant lampenkap,0.0733491
lepel arm voorkant,slinger bal cirkel,0.33442
schap met kommetje,tafel met bakje,0.0944691
afvoer onder bocht,aangedreven vierkant slurven,0.396138
pentagon staaf links,cirkel achterkant,0.362029
gieter met zonnepaneel,achterliggende staaf knobbels,0.559974
kegel bovenkant bal,losse bal voorkant,0.193948
pion omgekeerd links,pion b tafeltje,0.239497
lijn van bolletjes,kleine bolletjes plaat,0.227954
symetrisch bal bovenkant,bal bovenkant balk,0.121205
reservoir plaat onderkant,plaat met slurf,0.196264
twee ovalen knobbels,buis achterkant knik,0.263515
vierkant vlak voorkant,robot,0.662252
driehoek bovenop uitsteeksels,spitse driehoek bovenop,0.0717957
langwerpig blokje driehoek,trofee wokkel,0.463595
twee blokken rechts,platte driehoek bovenop,0.269953
compact balkje boven,kip,0.649139
ei staaf rondje,staaf door bal,0.19938
vierkant vlak hoog,tafel bakje,0.50769
uitsteeksels vier zijdes,zeepaardje,0.466077
rondje achterkant,rondje achterkant,0.0
uitsteeksels achterkant,staaf ballen zijkant,0.261007
vier verschillend uitsteeksels,driehoek balkje links,0.434709
langwerpig links punt,toeter,0.608261
vierkant vlak onder,zes bolletjes zijkant,0.321238
ei bovenop staaf,bal bovenop,0.19578
vierkant halverwege,vierkant halverwege doorheen,0.0626571
twee kegels blokje,telescoop,0.604951
plaat spijker bovenop,antenne plaat,0.264258
driehoek bovenop,driehoek telescoop,0.278515
wokkel driekhoek onderaan,wokkel driehoek,0.159273
twee balkjes rechts,trapezium,0.440988
lange balk bovenop,schoonmaakrobot,0.734285
kopje steel bol,appel steeltje,0.260026
plaat twee poten,tafel met schaaltje,0.2813
driehoek achter boven,dubbele driehoek,0.182012
breed voetstuk onder,rondje achterkant,0.46361
plaat achter kopje,waterval,0.568524
kopje lepel staaf,verf spatel,0.249178
langste spijker links,oude spijker,0.266044
kralen links rechts,pippi staartjes,0.60252
rond bolletje bovenop,korfbal,0.793201
vierkant door figuur,glijbaan,0.645883
vier verschillende uitsteeksels,twee dezelfde lepels,0.225232
rechts vierkante plaat,twee telescopen,0.492756
driehoek bovenop,driehoek en potloodpunt,0.142423
groot aanhangsel onderaan,groot aanhangsel blokjes,0.151407
twee balkjes rechts,vogel,0.621041
rechthoekig balkje bovenop,balk omgekeerde bekers,0.306674
ronde neus doorboord,doorboorde neus kuif,0.145229
tweepotige tafel,tweepotige tafel,0.0
ruit bovenop,kat ruit bovenkant,0.178159
lepeltje rechts,standaard en lepeltje,0.211934
linksboven soort schans,schroef erdoor schans,0.267679
verticale balk bovenop,neus rechthoek pen,0.280257
rond plateau rechts,rond plateau rechts,0.0
op een plaat,blad macaroni sprieten,0.434696
verticale balk zijkant,bal rechthoek armen,0.237822
plaat door kopje,blad door beker,0.260653
rechtop midden lepel,joysticks telescoop wormpje,0.44964
dubbele spijker zijkant,paddestoel bovenop,0.409912
hoed aan bovenkant,spijker aan zijkant,0.18146
driehoek met spiraal,trofee met kubussen,0.290372
dubbele plaatjes,twee plaatjes zijkant,0.156819
balk bovenop,liggende balk bovenop,0.0575776
staaf door ei,neus met piercing,0.326837
plateau met bak,plateau met bak,0.0
vierkant met uitsteeksel,ruit met doorboren,0.324882
houder onderkant,smalle houder onder,0.167855
buis doorheen,cilinder met plateau,0.283237
bal aan zijkant,neus zonder piercing,0.316016
spijker in aanhangsel,spijker in pacman,0.432449
plateau onderkant,plateau onderaan,0.136109
bal bovenop,korfbal met paal,0.336425
plateau midden,plateau met glijbaan,0.240256
ovaal midden rechtop,zelfde uitsteeksel bovenop,0.269254
horizontale torentjes paddestoel,robot champignon,0.40606
puntmuts neus oor,tipi tent,0.631788
scheef wijnglas blokjes,wijnglas speciaalbier,0.29814
snavel armpje pootje,kuikentje,0.385697
rechthoek bovenop,chicken little,0.680719
propellor neus sprietje,neuspiercing,0.394227
tafel schaaltje dienblad,tafeltje met bakje,0.128375
twee pootjes scheef,dansend hobbelpaard,0.448558
wiegje handvat lepel,cocktail citroen schijfje,0.371166
platte staaf courgette,courgette,0.190852
uitstekend rechthoek handvat,neus fancy lepel,0.316093
tafelpoot plateau uitstekend,casino hendel,0.487184
vlechtjes neus dienblad,pippi langkous,0.589135
fietsstuur balletje basket,basketbal fietsstuur,0.156639
stoomschip verhoogd vierkant,stoomboot met tutu,0.417995
vier uitsteeksels,stofzuiger,0.785404
paddestoel bovenop,spijker vierkant vlak,0.374327
persoon met pyramide,pyramide,0.367986
schroef onderin,schroef op driehoek,0.169826
kip,hoedje uitstekende puntjes,0.537821
balk bovenop,compact,0.696157
stok door neus,balk door neus,0.136692
kruiwagen,kruiwagen,0.0
dier op zijkant,dier op zijkant,0.0
koffiekopje,kopje half rondje,0.462518
gieter,gieter,0.0
ronde neus,neus twee uitsteeksels,0.181372
spijker bovenop,dienblad spijker,0.214337
pot op vierkant,vierkant object erop,0.250764
balk en bal,mannetje met armen,0.371534
vierkant omheen,vierkant er doorheen,0.11117
theepot,theekan,0.274341
minion met verrekijker,twee skyscrapers,0.573959
zeil van zeilboot,feesthoedje,0.508623
typhoon,trofee,0.737057
wiskundige vergelijking,adapter,0.751421
watermolen,kleine rugzak,0.858474
ronde neus piercing,neuspiercing,0.326579
trechter op salontafel,bloembak,0.356887
pinokkio met hanenkam,ruiten en bliksemschicht,0.370423
rond oor,cocktail,0.650261
diaprojector,grote rugzak,0.607108
ronde neus rechteroor,grote neus,0.225019
neus omgekeerde eiffeltoren,naald in arm,0.335658
pippi langkous vlechten,pippi langkous,0.0525624
neus op hoofd,basketbal,0.596327
rare glijbaan,glijbaan,0.163249
mixer,wolkenkrabber,0.830683
vierkant vlak voorkant,twee minecraft links,0.437832
driehoekige punt bovenop,driehoek bovenop,0.113431
wijnglas voet onderaan,wijnglas,0.205297
klein dekseltje erop,eendje of vogeltje,0.315923
steekt minste uit,middelvinger,0.50784
stampot stamper aan zijkant,stampot stamper,0.140095
bankje ertegen,tafeltje of bankje,0.211454
twee ruiten bovenop,minecraft op vierkantjes,0.464999
soeplepel rechtsboven,theelepeltje,0.295743
knobbel handvaten tegenover,knobbel handvaten,0.0720743
los paasei voorop,ei voorop,0.194641
spijker linksboven,spijker,0.20414
drie bolletjes slinger,drie bolletjes zijkanten,0.109096
verticale balk voorkant,vertikale balk,0.0730061
plaat erdoor heen,pijpje of schoorsteentje,0.291842
twee haakse handvaten,minecraft rechts,0.440207
plat vierkant zijkant,plat vierkant voorkant,0.0184156
driehoek bovenkant,feesthoedje bovenkant,0.139297
twist naar beneden,kronkel pizzapunt onderkant,0.398752
pot met kubus deksel,parallelle staafjes zijkant,0.391243
boek in mok,boek in mok,1.19209e-07
rechterkant vastgemaakt,buis met schijf,0.415905
soort kruk aan onderkant,tafelpoot onderkant,0.12886
hengsel aan de rechterkant,samengeperste vierkanten,0.401274
halve maan bovenkant,halve maan,0.0880305
poot dwars door mok,honkbalknuppel dwars doorheen,0.205262
staaf in mok,rare druppel staafje,0.363082
dik hengsel met twee strepen,plaat zijkant,0.250336
driehoekjes aan zijkant,drie driehoekjes zijkant,0.0732151
balk aan zijkant,bal bovenkant hengsel,0.291689
middenin een bierviltje,bierviltje om mok,0.285872
grote rechtstaande druppel,grote druppel bovenkant,0.090203
robot met verrekijker,robot empire state ogen,0.323408
onverklaarbare uitstulpingen alle zijden,holle kegel potloodpunt,0.338306
kubussen erop driehoek eronder,kelk driehoek voet,0.266564
is aan zijkant,perry is teken,0.355706
balk erop kraan ernaast,koffieapparaat ruimteschip flapjes,0.36944
spijker door neus,indiaan toeter neus,0.246208
tafel door kom,tafel met bakje,0.228871
zo'n katten klok,grijphand empire state ogen,0.488083
voetje cilinder schijf,pinokkio voetje achterschijf,0.25471
kom met piemels,kom piemels deksel,0.113842
hoofd achtig compas naald op hoofd,blokje vulpen bovenop,0.256428
bijzettafeltje b eruit,toeter kom plateau,0.437355
plateau kom staartjes,spirelli scooter achtig plateau,0.26085
bal erop slangen eruit,kom knuffelt stok,0.297929
speeltoestel met schoorstenen,glijbaan plaat halvewege,0.244156
bowlingpin boven en links,bowlingpins slurf achterzijde,0.372781
helikopter,helikopter,0.0
kabouter met puntmuts,piramide of punthoed,0.29739
urinoir gedraaide afvoer,trofee,0.754821
twee rechthoekige oren,twee rechthoeken rechts,0.155563
gebouwtje op ijsberg,gebouw op berg,0.249902
neuspiercing en staart,neuspiercing,0.177243
geweer langs hoofd,geweer langs hoofd,0.0
stier van onderen,pinokkio danst,0.552445
waterkraan,kop op houder,0.431356
vliegtuig met zonnepaneel,gieter,0.562039
dartpijl in achterhoofd,dartpijl in achterhoofd,5.96046e-08
spijker in arm,omgekeerde pilon,0.44502
kop op tafel,kralen op tafel,0.1933
korfbal op korf,korfbal op korf,5.96046e-08
kop in tafelblad,ondiep door tafel,0.252972
konijnenoren op onderzeeer,twee tampons,0.441007
blokjes armen,antenne en blokken,0.403657
driehoekig hoofd,feestmuts,0.576559
standbeeld op voet,standbeeld,0.19597
vogel die vliegt,vogeltje,0.349701
blok op eiland,blok en mouwtje,0.3133
appel,appel met stampertje,0.148668
dienblad met schaal,dienblad,0.157553
antennes als oren,hondje,0.541078
koffiekopje met wafel,steelpan,0.376347
pin door kopje,staaf en vierkant,0.399787
grote ronde neus,kegel en balk,0.358424
vangrail en dienblad,spijker in vangrail,0.184812
ketting,kraaltjes,0.333635
bol persoon,mens aan paal,0.394379
pinokkio met ogen,lange neus,0.342716
kaars met armen,cactus,0.579038
vierkant vlak rechts,verrekijkers,0.677872
driehoek bovenop,driehoek bovenop,0.0
twist driehoek onderkant,driehoekige voet,0.251782
twee rechthoeken rechts,stekker,0.578248
liggende balk bovenop,nietszeggend balk bovenop,0.101399
balk door ei,neuspiercing,0.544665
trapezium op dienblad,dienblad,0.180806
staart onderkant,olifant,0.429252
schijf achter bovenkant,halve cirkel achterkant,0.207795
handvat links achter,theepot,0.526325
ei midden rechts,rondje voor,0.420058
horizontale schijf rechts,toeter,0.496173
staat op rechthoek,staartjes,0.712567
staande balk voorkant,balk voorkant,0.0467513
twee cilinders bovenop,vlak door basisfiguur,0.454138
omgekeerde kegel bovenop,kegel boven zijkant,0.138188
groot vierkant aangeplakt,vierkant voor,0.21901
een driehoek boven,afgesneden piramide neus,0.279479
lange poot driehoek,driehoek staander beneden,0.178298
twee balkjes rechts,angry bird,0.680266
klein balkje schuin voor,balkje in hand,0.19648
beker gezicht met neusring,neuspiercing,0.475968
hoog tafeltje,hoge kruiwagen,0.376094
boven dubbel rechthoekig vierkant,raampjes op hoofd,0.310769
uitstekende cirkel achter,pinokkio links neus,0.391638
gieter zonder handvat,gieter,0.203304
grote ei neus,ei neus voor,0.0755162
schuine cirkel voor,lange hendel linksboven,0.251833
platte rond voor,pippi langkous staartjes,0.747344
lange balk voor,open armen,0.453009
slurf op vierkant,slurf op vierkant,-2.38419e-07
worm en vierkant,wormpje achterkant pot,0.253846
vierkant aan voorkant,robot,0.648283
soort kegel bovenkant,feesthoed met potlood,0.345566
vierkant bovenop,tulp,0.555745
rechts twee balkjes,f,0.7115
rechthoek op bovenkant,vogel,0.513332
bol met rechthoek,doorgeboorde neus,0.367879
tafeltje met schaaltje,tafel met schaaltje,0.0304725
dunne cilinder voorkant,pinokkio neus,0.442335
links cilinder,citroentje,0.639998
staaf met bol,vleugels,0.434454
alleen bol voorkant,neus en pen,0.281218
omgekeerde kleine pion,omgekeerde pion,0.0673131
vierkant als ondergrond,plateau met kraaltjes,0.335784
bol op bovenkant,ei met armpjes,0.304141
dikke cilinder voorkant,slurf,0.293023
twee ovaalvormige cillinders,propellor,0.410664
vierkante plaat vooraan,vierkante plaat voor,0.105756
driehoek bovenop,punt bovenop,0.142957
wokkel en blokken,wijnglas,0.746769
twee blokjes rechts,identieke blokjes rechts,0.0444131
paaltje en blokken,ruimteschip en gebouw,0.369194
heeft een ontstopper,neus met piercing,0.355726
hoge tafel,tafel met bakje,0.244573
wasbak met kraan,wasbak met kraan,-2.38419e-07
ronde schijf achter,ronde schijf achter,0.0
springplank achteraan,springplank achter,0.0990995
neus en antennes,neus zonder piercing,0.256804
rond bijzettafeltje,spijker en bijzettafel,0.209671
staat op vierkant,plateau en sprieten,0.42741
bal bovenop,bal bovenop,0.0
glijbaan en haak,glijbaan en haak,1.19209e-07
ronde pijp achteruit,pijp achter,0.220371
robot met antenna,robot,0.235375
driehoek op kop,feesthoedje,0.370972
wijnglas,wijnglas,5.96046e-08
is teken rechts,flappy bird is,0.546507
neus vormige neus links,neus met balk,0.177694
lepel zuignap handvat,zuignap,0.170768
twee potige tafel,tafel twee poten,0.183092
ruit met handvaten,kraan,0.432489
pinokkio,pinokkio,0.0
niks aan voorkant,twee oneven handvaten,0.43087
lepel balvormig handvat,zuignap zonder zuignap,0.332009
spijker in handvat,spijker bijzettafel,0.275625
kop met schotel,vierkantjes met schotel,0.134462
bal kom balk,fietsmand met bal,0.288291
kop door schotel,slurf,0.456884
twee deegroller handvaten,deegroller en minecraft,0.165645
paddenstoeltje bovenop,paddenstoel,0.392251
puntige driehoek bovenop,puntig driehoek boven,0.135402
langwerpig kubus driehoek,spiraal mannetje,0.366505
afgevlakte driehoek bovenop,vogel,0.668168
balk bovenop compact,andere vogel,0.589232
staaf door bolletje,bolletje staaf doorheen,0.0632333
tafel twee pootjes,tafel twee pootjes,0.0
haakjes zijkant onder,diamant bovenkant,0.453886
verborgen cirkel achter,halve cirkel achter,0.143452
staaf door kopje,gieter,0.529875
bol aan voorkant,omgekeerde kegel bovenkant,0.278003
rond plateautje zijkant,horizontaal rond plateau,0.216815
op plateau staand,plateau diamantjes,0.318917
bol bovenop,verticale vierkante staaf,0.252926
vierkant door midden,vierkant dwars midden,0.0748609
afgeronde staaf bovenop,twee pluimen,0.347421
twee vierkante schroeven,paddestoel twee schroeven,0.165926
grote driehoek bovenop,boven piramide wijnfles,0.270107
spiraal staart,wijnglas driehoek statief,0.372621
trapezium bovenop,deurklink halve driehoek,0.29836
horizontale balk bovenop,koffie tuitje horizontale balk,0.127962
neuspiercing bolletje,zuignap stokje,0.280337
rekje met bakje,plankje met bakje,0.035687
schroef oren staart,onderaan tuitje ruit,0.256027
rondje achter,ovale statief lepel,0.464311
twee ronde schroeven,twee ongelijke knoppen,0.191991
pen balletje,pen rond balletje,0.0537746
spuit in arm,dienblad spijker arm,0.23104
diamanten armen ondergrond,diamanten staartjes,0.223631
verticale balk voorkant,waterpomp,0.583841
plaat als rokje,armpje twee staafjes,0.308143
vier langwerpige armen,twee dezelfde armpjes,0.164095
plat vierkant voorkant,paddestoel,0.514425
feesthoedje bovenop,driehoek wolkje,0.334999
driehoek onderkant,schroef,0.370934
rechts twee rechthoekjes,rechts twee rechthoekjes,5.96046e-08
horizontale staaf bovenop,lampenkap,0.596976
staaf door bol,staaf door bol,0.0
vierhoek kubus ondersteboven,tafel,0.482129
twee ruitjes boven,twee ruitjes,0.0631474
platte schijf achter,keukenmachine,0.568879
bolletjes aan steel,zout potjes,0.334241
bol drie stekels,bol drie stekels,0.0
horizontale schijf rechts,platte schijf,0.176339
drie bolletjes zijkanten,zes bolletjes,0.0917087
vierhoekige staaf voorkant,rechthoekige staaf verticaal,0.123278
groot vierkant doormidden,l,0.600419
twee grote kegels,boven zijkant stekel,0.387376
twee armen,robotarmen spijker,0.455636
punthoofd,punthoofd blok neus,0.214766
ijscoupe,ijscoupe,-2.38419e-07
